timestamp,price,volume,market_cap,date,coin_id,rank
1617321600000,31.532153,24444705.857948,1382419332.471162,2021-04-02,arweave,69
1617321600000,1.012906,380154199.3927,1346324773.947658,2021-04-02,decentraland,70
1617321600000,36754.331009,298753086.57277,1329573786.868509,2021-04-02,yearn-finance,71
1617321600000,1.256656,16780665.963546,1324953925.185834,2021-04-02,blockstack,72
1617321600000,7.571193,158948229.529708,1309658852.36073,2021-04-02,bancor,73
1617321600000,0.013833,261517362.939986,1289270723.953393,2021-04-02,dent,74
1617321600000,11.835865,101586480.689463,1183586477.209161,2021-04-02,waves,75
1617321600000,0.166913,532019228.348889,1169731452.656646,2021-04-02,ankr,76
1617321600000,0.088438,87806960.989532,1160669929.190192,2021-04-02,reserve-rights-token,77
1617321600000,0.080636,110772876.200891,1132371955.351039,2021-04-02,digibyte,78
