coin_id,name,symbol,is_stablecoin,is_wrapped_coin,confidence,stablecoin_categories,wrapped_categories,all_categories,last_updated
lido-dao,Lido DAO,ldo,False,True,high,,Liquid Staking,Infrastructure;Decentralized Finance (DeFi);Polygon Ecosystem;Arbitrum Ecosystem;Ethereum Ecosystem;Optimism Ecosystem;Liquid Staking Governance Tokens;eGirl Capital Portfolio;Paradigm Portfolio;Coinbase Ventures Portfolio;Multicoin Capital Portfolio;Index Coop Defi Index;Alameda Research Portfolio;DragonFly Capital Portfolio;Andreessen Horowitz (a16z) Portfolio;GMCI DeFi Index;Delphi Ventures Portfolio;Liquid Staking;GMCI Index;Coinbase 50 Index,2025-07-11T04:59:13.716702+00:00
staked-ether,Lido Staked Ether,steth,False,True,high,,Liquid Staking Tokens;Liquid Staked ETH;Liquid Staking,Decentralized Finance (DeFi);Liquid Staking Tokens;Ethereum Ecosystem;Liquid Staked ETH;Liquid Staking,2025-07-11T05:00:51.347607+00:00
liquid-staked-ethereum,Liquid Staked ETH,lseth,False,True,high,,Liquid Staking Tokens;Liquid Staked ETH;Liquid Staking,Liquid Staking Tokens;Ethereum Ecosystem;Base Ecosystem;Liquid Staked ETH;Liquid Staking,2025-07-11T04:59:14.977013+00:00
lista,Lista DAO,lista,False,True,high,,Liquid Staking Tokens;Liquid Staking,Decentralized Finance (DeFi);BNB Chain Ecosystem;Lending/Borrowing Protocols;Liquid Staking Tokens;Binance Megadrop;Liquid Staking,2025-07-11T09:52:53.638730+00:00
looped-hype,Looped Hype,lhype,False,True,high,,Liquid Staking,Liquid Staking;HyperEVM Ecosystem,2025-07-11T09:51:31.510593+00:00
lorenzo-protocol,Lorenzo Protocol,bank,False,True,high,,Liquid Staking,BNB Chain Ecosystem;YZi Labs (Prev. Binance Labs) Portfolio;Liquid Staking;BTCfi Protocol,2025-07-18T11:48:41.174758+00:00
lorenzo-stbtc,Lorenzo stBTC,stbtc,False,True,high,,Liquid Staking Tokens;Liquid Staking,Decentralized Finance (DeFi);BNB Chain Ecosystem;Liquid Staking Tokens;Sui Ecosystem;Liquid Staking,2025-07-11T04:59:18.544784+00:00
mantle-staked-ether,Mantle Staked Ether,meth,False,True,high,,Liquid Staking Tokens;Liquid Staked ETH;Liquid Staking,Liquid Staking Tokens;Ethereum Ecosystem;Mantle Ecosystem;Liquid Staked ETH;Liquid Staking,2025-07-11T04:59:23.233798+00:00
marinade,Marinade,mnde,False,True,high,,Liquid Staking,Solana Ecosystem;Liquid Staking Governance Tokens;Liquid Staking,2025-07-11T09:52:19.942552+00:00
msol,Marinade Staked SOL,msol,False,True,high,,Liquid Staking Tokens;Liquid Staking,Decentralized Finance (DeFi);Solana Ecosystem;Liquid Staking Tokens;Liquid Staked SOL;Liquid Staking,2025-07-11T04:59:35.625376+00:00
olympus,Olympus,ohm,False,True,high,,Crypto-Backed Tokens,Crypto-Backed Tokens;Decentralized Finance (DeFi);Rebase Tokens;Arbitrum Ecosystem;Ethereum Ecosystem;Berachain Ecosystem,2025-07-11T04:59:48.057363+00:00
